,project,address,address_edit,city,state,zip,contact_name,phone,company,contact_address,x0_bedroom,x1_bedroom,x2_bedroom,x3_bedroom,x4_bedroom,file,lat,long
1,VILLAS II AT DELMAR CROSSING,600 MAGNOLIA DRIVE,600 MAGNOLIA DRIVE,DELMAR,DE,19940,LLC DELMAR SENIOR ASSOCIATES,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,0,0,0,0,lihtc,38.45874,-75.56102
2,GOLDEN MEADOWS,40 GOLDEN LANE,40 GOLDEN LANE,DELMAR,DE,19940,LP GOLDEN MEADOWS,240-683-0300,JOHN P SEYMOUR INC (CORP FOR SHELTER MGT),"1375 PICCARD DRIVE SUITE 150
ROCKVILLE, MD 20850",0,32,0,0,0,lihtc,38.46261,-75.57302
3,WEXFORD VILLAGE,56 SUNSET DRIVE,56 SUNSET DRIVE,LAUREL,DE,19956,L.P. WEXFORD VILLAGE,302-739-4263,CHRIS WHALEY,"18 THE GREEN
DOVER, DE 19956",0,0,17,38,5,lihtc,38.557087,-75.58628
4,HOLLYBROOK II APARTMENTS,1111 GRAZING COURT,1111 GRAZING COURT,LAUREL,DE,19956,HOLLYBROOK LP,410-269-0900,Null,"410 SEVERN AVENUE SUITE B413
ANNAPOLIS, MD 21403",0,0,0,0,0,lihtc,38.57008,-75.571495
5,OLD LANDING APARTMENTS II,29320 WHITE STREET #400,29320 WHITE STREET #400,MILLSBORO,DE,19966,LP OLD LANDING APARTMENTS II,302-934-6491,MILLSBORO PROGRESS FOR HOUSING,"PO BOX 177
MILLSBORO, DE 19966",0,6,12,12,0,lihtc,38.58499,-75.28395
6,MILLSBORO VILLAGE I,210 THOMAS TAYLOR DRIVE,210 THOMAS TAYLOR DRIVE,MILLSBORO,DE,19966,LLC MILLSBORO VILLAGE,302-934-6491,MILLSBORO PROGRESS FOR HOUSING,"PO BOX 177
MILLSBORO, DE 19966",0,0,0,0,0,lihtc,38.586967,-75.28843
7,MILLSBORO VILLAGE,210 THOMAS TAYLOR DR,210 THOMAS TAYLOR DR,MILLSBORO,DE,19966,WILLIAM DUFFY,302-934-6491,MILLSBORO PROGRESS FOR HOUSING,"PO BOX 177
MILLSBORO, DE 19966-0177",0,6,16,16,12,lihtc,38.586967,-75.28843
8,MILL CHASE APARTMENTS,14 MILL CHASE CIRCLE,14 MILL CHASE CIRCLE,MILLSBORO,DE,19966,MILLSBORO LP,302-764-6400,PETER GILMAN,"P O BOX 4220
WILMINGTON, DE 19807",0,0,50,23,0,lihtc,38.589664,-75.295815
9,LONG NECK APARTMENTS,"25927 RIVER BEND ROAD, #600","25927 RIVER BEND ROAD, #600",MILLSBORO,DE,19966,L.P. LONG NECK ASSOCIATES,302-422-8255,DAVID MOORE,"977 E. MASTEN CIRCLE
MILFORD, DE 19963",0,0,0,0,0,lihtc,38.63314,-75.19306
10,GREENSIDE MANOR,504 CYPRESS DR.,504 CYPRESS DR.,SEAFORD,DE,19973,LP GREENSIDE ASSOCIATES,443-615-7120,Null,"1813 SWEETBAY DRIVE #9
SALISBURY, MD 21804",0,24,15,0,0,lihtc,38.647606,-75.62086
11,CHANDLER HEIGHTS,1-B CHANDLER HEIGHTS,1-B CHANDLER HEIGHTS,SEAFORD,DE,19973,CHANDLER L.P.,302-629-8048,BETTER HOMES OF SEAFORD INC,"101 INDEPENDENCE DRIVE
SEAFORD, DE 19973",0,32,40,16,0,lihtc,38.647736,-75.60448
12,MEADOWBRIDGE APARTMENTS,112 SOUTH TULL DRIVE,112 SOUTH TULL DRIVE,SEAFORD,DE,19973,DELAWARE DEVELOP,302-235-2500,GEORGE BEER,"726 YORKLYN ROAD SUITE 200
HOCKESSIN, DE 19707",0,0,0,0,0,lihtc,38.64837,-75.63322
13,WOODLAND MILLS II,900 WOODLAND MILLS DRIVE,900 WOODLAND MILLS DRIVE,SEAFORD,DE,19973,WOODLAND ASSOCIATES,302-764-6400,PETER GILMAN,"P O BOX 4220
WILMINGTON, DE 19807",0,0,0,0,0,lihtc,38.6529,-75.6041
14,WOODLAND MILLS I,900 WOODLAND MILLS DRIVE,900 WOODLAND MILLS DRIVE,SEAFORD,DE,19973,WOODLAND ASSOCIATES,302-764-6400,PETER GILMAN,"P O BOX 4220
WILMINGTON, DE 19807",0,0,0,0,0,lihtc,38.6529,-75.6041
15,SEAFORD MEADOWS PRESERVATION APARTMENTS,122 SEAFORD MEADOWS,122 SEAFORD MEADOWS,SEAFORD,DE,19973,SEAFORD PRES,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,40,43,38,0,lihtc,38.654118,-75.60057
16,WILLIAMSBURG MANOR,101 INDEPENDENCE DRIVE,101 INDEPENDENCE DRIVE,SEAFORD,DE,19973,L.P WILLIAMSBURG MANOR,302-629-8048,BETTER HOMES OF SEAFORD INC,"101 INDEPENDENCE DRIVE
SEAFORD, DE 19973",0,0,0,0,0,lihtc,38.655537,-75.60721
